fecha,medicion,temperatura
2018-09-29,1237.0,20.995833333333334
2018-09-30,956.0,21.541666666666668
2018-10-01,583.0,19.404166666666665
2018-10-02,937.0,17.650000000000002
2018-10-03,1205.0,19.224999999999998
2018-10-04,1433.0,19.016666666666666
2018-10-05,1610.0,18.758333333333333
2018-10-06,1249.0,19.375
2018-10-07,313.0,15.358333333333334
2018-10-08,733.0,13.666666666666666
2018-10-09,683.0,13.525
2018-10-10,1056.0,14.674999999999999
2018-10-11,991.0,17.025000000000002
2018-10-12,664.0,18.575
2018-10-13,1027.0,18.691666666666666
2018-10-14,370.0,15.566666666666668
2018-10-15,769.0,12.137500000000001
2018-10-16,1052.0,14.870833333333335
2018-10-17,1121.0,15.450000000000001
2018-10-18,951.0,15.879166666666668
2018-10-19,644.0,14.929166666666667
2018-10-20,548.0,16.329166666666666
2018-10-21,617.0,16.641666666666666
2018-10-22,1058.0,16.133333333333333
2018-10-23,1200.0,15.533333333333333
2018-10-24,1728.0,14.608333333333334
2018-10-25,1671.0,14.5875
2018-10-26,1755.0,12.691666666666668
2018-10-27,770.0,10.1875
2018-10-28,531.0,6.5375000000000005
2018-10-29,621.0,7.575
2018-10-30,845.0,7.904166666666666
2018-10-31,854.0,9.020833333333334
2018-11-01,962.0,9.904166666666667
2018-11-02,737.0,12.970833333333333
2018-11-03,1264.0,9.170833333333333
2018-11-04,962.0,8.516666666666667
2018-11-05,705.0,9.525
2018-11-06,640.0,9.541666666666666
2018-11-07,1080.0,10.754166666666668
2018-11-08,1125.0,9.0625
2018-11-09,370.0,10.15
2018-11-10,402.0,12.170833333333334
2018-11-11,474.0,13.950000000000001
2018-11-12,1160.0,11.966666666666667
2018-11-13,1160.0,11.395833333333334
2018-11-14,1081.0,11.6625
2018-11-15,1049.0,13.070833333333333
2018-11-16,1016.0,13.158333333333333
2018-11-17,740.0,12.75
2018-11-18,612.0,10.654166666666667
2018-11-19,772.0,11.054166666666667
2018-11-20,612.0,10.375
2018-11-21,883.0,9.362499999999999
2018-11-22,1203.0,8.291666666666666
2018-11-23,900.0,8.987499999999999
2018-11-24,1245.0,4.770833333333333
2018-11-25,611.0,10.545833333333333
2018-11-26,686.0,9.670833333333333
2018-11-27,1343.0,6.316666666666666
2018-11-28,1650.0,4.854166666666667
2018-11-29,1515.0,5.345833333333334
2018-11-30,1381.0,7.383333333333333
2018-12-01,1324.0,5.204166666666667
2018-12-02,1129.0,5.770833333333333
2018-12-03,1190.0,6.5625
2018-12-04,1601.0,7.904166666666666
2018-12-05,1677.0,8.220833333333333
2018-12-06,1330.0,8.012500000000001
2018-12-07,1165.0,5.0375000000000005
2018-12-08,1229.0,6.920833333333333
2018-12-09,1615.0,6.466666666666666
2018-12-10,2257.0,5.7625
2018-12-11,1622.0,5.329166666666667
2018-12-12,1272.0,4.554166666666666
2018-12-13,798.0,7.854166666666667
2018-12-14,1103.0,4.666666666666667
2018-12-15,1190.0,4.795833333333333
2018-12-16,511.0,9.470833333333333
2018-12-17,1497.0,4.141666666666667
2018-12-18,1492.0,3.6374999999999997
2018-12-19,1177.0,6.908333333333334
2018-12-20,1100.0,7.566666666666666
2018-12-21,1116.0,7.670833333333333
2018-12-22,975.0,7.6000000000000005
2018-12-23,919.0,5.629166666666666
2018-12-24,1366.0,5.2124999999999995
2018-12-25,1229.0,5.5
2018-12-26,1614.0,5.083333333333333
2018-12-27,1578.0,4.133333333333334
2018-12-28,1273.0,4.945833333333334
2018-12-29,949.0,7.495833333333334
2018-12-30,1252.0,12.6
2018-12-31,1787.0,7.783333333333334
